name,value
Pejagalan,8249
Duri Kepa,6322
Cengkareng Barat,5838
Penjaringan,5279
Sunter Agung,5011
Pluit,5006
Cengkareng Timur,4911
Sunter Jaya,4879
Gelora,4731
Pinangsia,4566
